x;y;radius;error
1951;2035;1847;155.62676978111267
1958;2033;1849;211.64475162823996
1953;2037;1841;158.300114830335
1957;2037;1843;139.7145077586174
1954;2033;1847;171.37860188881555
1951;2033;1848;187.50447183847427
1956;2035;1841;155.13211027781168
1959;2033;1849;228.76224275430044
1958;2038;1849;179.91067256530127
1959;2038;1848;195.59658364454904
1953;2039;1842;159.270225306352
1952;2038;1841;175.0283154050509
1952;2035;1842;166.95285216967264
1955;2033;1849;174.63912262519202
1958;2033;1844;207.91711455583572
1952;2037;1843;152.55106123288473
1952;2041;1849;205.33360254764557
1959;2035;1844;200.24189023176828
1953;2036;1844;137.14900281031927
1952;2035;1841;173.43216679493585
1958;2034;1848;195.96112291018167
1957;2040;1847;179.05488240718842
1958;2041;1844;200.69458172718683
1951;2035;1844;167.79060610135397
1951;2037;1846;151.62234006325403
1951;2037;1842;177.83398697773615
1959;2039;1844;192.21258038282394
1956;2039;1846;152.1520141363144
1955;2039;1843;142.217102487882
1955;2041;1845;183.62031811475754
1953;2036;1845;131.18413706620535
1952;2033;1844;179.86068791151047
1955;2040;1848;171.38016885519028
1952;2034;1847;161.0767350991567
1955;2035;1848;137.728211859862
1957;2038;1845;143.0133220553398
1958;2033;1843;207.11093966166177
1956;2038;1845;130.23026537895203
1954;2037;1848;128.43734059731165
1951;2033;1847;188.286818921566
1954;2038;1844;130.36012244224548
1955;2037;1846;118.62315448125203
1958;2033;1841;205.39141277472177
1952;2035;1846;146.8898740609487
1956;2038;1849;151.26828384399414
1959;2038;1841;185.32821319500604
1953;2038;1842;150.52964935700098
1956;2041;1844;184.0209456284841
1954;2033;1842;173.50833475589752
1956;2041;1848;187.50661561886469
1957;2033;1847;195.07009003559747
1951;2038;1842;181.52025747299194
1958;2039;1841;169.79936528205872
1952;2039;1849;176.37371855974197
1951;2041;1844;206.43765626351038
1957;2038;1849;162.62130316098532
1955;2034;1847;155.65429735183716
1951;2039;1848;181.69768546024957
1953;2036;1842;151.99824657042822
1954;2040;1848;173.00969624519348
1954;2041;1848;187.94807666540146
1953;2034;1841;168.8756335179011
1951;2040;1849;200.51658101876578
1951;2039;1846;175.4713231921196
1958;2041;1847;203.2480798959732
1959;2037;1845;184.0323539773623
1954;2035;1849;138.00041236480078
1959;2035;1845;200.02681110302606
1953;2035;1843;152.60378871361414
1955;2036;1846;122.7099620103836
1957;2039;1844;155.13011093934378
1953;2037;1844;132.7433845003446
1956;2034;1848;165.03687181075415
1955;2033;1843;175.10596070686975
1951;2035;1845;163.05223315954208
1955;2038;1849;147.299359301726
1955;2033;1847;174.39785327514014
1959;2041;1841;215.06278302272162
1955;2037;1845;118.11316579580307
1952;2039;1846;164.01759757598242
1959;2041;1847;217.6425386071205
1957;2041;1846;191.20475522677103
1959;2034;1845;212.1304265856743
1952;2039;1845;162.18531276782355
1959;2036;1844;189.99020328124365
1959;2041;1843;214.43830690781274
1953;2041;1842;190.19146531820297
1952;2041;1848;202.23362412055334
1952;2041;1843;196.9875530997912
1955;2035;1847;136.9806219538053
1959;2033;1845;224.52203436692557
1953;2034;1849;154.6468850572904
1954;2041;1841;184.99355334043503
1951;2036;1841;185.59221669038138
1951;2034;1845;174.56322729587555
1951;2034;1841;187.99269032478333
1952;2040;1847;183.4566573301951
1958;2034;1843;194.7624185681343
1959;2037;1847;187.53318667411804
1958;2041;1843;200.45501172542572
1952;2034;1848;160.0021569331487
1953;2037;1843;139.95397551854452
1957;2038;1842;140.50260359048843
1953;2041;1848;193.47418032089868
1955;2038;1843;126.66023900111516
1952;2035;1848;144.39467748006186
1956;2038;1841;133.26265557607016
1959;2035;1849;204.14668637514114
1956;2039;1843;143.1048850019773
1957;2034;1848;179.07523036003113
1957;2034;1849;180.48957127332687
1953;2035;1845;142.90201769272485
1956;2036;1844;134.18850437800089
1958;2035;1841;184.59964444239935
1958;2037;1842;163.41934402783713
1957;2036;1848;149.3891276717186
1951;2035;1842;179.057044506073
1957;2034;1842;178.7124843200048
1954;2033;1844;173.19177329540253
1956;2035;1845;148.64692600568137
1952;2041;1847;199.72037261724472
1952;2036;1841;171.83300222953162
